time,PM25,PM10,NO2,O3,CO,SO2,dust,uv_index,AQI_EU,AQI_US,AQI_India
2024-04-01 00:00:00,32.7,58.7,52.9,11.0,597.0,11.7,38.0,0.0,37,65,66.8025
2024-04-01 01:00:00,32.7,59.8,51.8,9.0,571.0,10.0,42.0,0.0,38,67,65.455
2024-04-01 02:00:00,32.7,61.7,47.4,11.0,521.0,8.4,46.0,0.0,40,68,62.466
2024-04-01 03:00:00,31.8,61.7,36.8,19.0,426.0,6.9,50.0,0.0,43,70,62.466
2024-04-01 04:00:00,31.9,61.5,22.8,31.0,307.0,5.3,54.0,0.0,46,72,62.269999999999996
2024-04-01 05:00:00,33.2,63.3,19.6,33.0,284.0,5.0,56.0,0.0,50,73,64.03399999999999
2024-04-01 06:00:00,36.6,69.8,17.8,37.0,282.0,5.6,61.0,0.0,53,75,70.404
2024-04-01 07:00:00,40.0,75.9,15.2,44.0,278.0,6.4,68.0,0.4,56,76,76.382
2024-04-01 08:00:00,41.6,82.2,12.4,56.0,269.0,7.0,80.0,1.65,60,78,82.55600000000001
2024-04-01 09:00:00,40.9,87.8,9.3,80.0,252.0,7.1,100.0,3.85,61,80,88.044
2024-04-01 10:00:00,38.9,92.4,5.9,110.0,230.0,7.0,125.0,6.35,61,82,115.55882352941177
2024-04-01 11:00:00,36.8,100.1,3.4,132.0,210.0,6.7,145.0,8.65,62,83,147.58823529411765
2024-04-01 12:00:00,38.1,116.4,2.2,138.0,194.0,6.0,158.0,9.55,63,85,156.3235294117647
2024-04-01 13:00:00,38.4,116.2,1.9,135.0,181.0,5.0,167.0,8.6,64,86,151.95588235294116
2024-04-01 14:00:00,36.6,107.3,1.9,131.0,173.0,4.3,170.0,6.85,65,88,146.13235294117646
2024-04-01 15:00:00,35.4,102.2,1.1,131.0,163.0,3.8,167.0,4.45,66,90,146.13235294117646
2024-04-01 16:00:00,34.6,98.7,0.6,130.0,158.0,3.4,158.0,2.1,67,92,144.6764705882353
2024-04-01 17:00:00,33.6,95.9,3.5,125.0,177.0,4.2,148.0,0.6,68,93,137.39705882352942
2024-04-01 18:00:00,33.5,77.8,12.4,106.0,245.0,5.5,126.0,0.05,69,95,109.73529411764706
2024-04-01 19:00:00,35.7,75.2,24.7,79.0,339.0,7.3,97.0,0.0,70,97,79.42
