time,PM25,PM10,NO2,O3,CO,SO2,dust,uv_index,AQI_EU,AQI_US,AQI_India
2024-12-01 00:00:00,50.9,52.6,22.9,67.0,403.0,15.1,3.0,0.0,77,128,85.13666666666666
2024-12-01 01:00:00,49.8,51.7,15.7,79.0,383.0,14.6,3.0,0.0,78,129,83.34
2024-12-01 02:00:00,49.2,51.1,10.3,87.0,370.0,14.6,3.0,0.0,78,130,87.25999999999999
2024-12-01 03:00:00,49.0,50.8,7.9,89.0,358.0,15.3,3.0,0.0,78,131,89.22
2024-12-01 04:00:00,49.1,51.1,7.4,87.0,355.0,16.5,4.0,0.0,79,132,87.25999999999999
2024-12-01 05:00:00,49.5,51.7,8.0,85.0,372.0,18.6,4.0,0.0,79,133,85.3
2024-12-01 06:00:00,50.3,52.5,10.7,79.0,432.0,20.5,4.0,0.0,79,133,84.15666666666667
2024-12-01 07:00:00,52.5,54.7,14.3,71.0,514.0,23.1,3.0,0.1,79,134,87.75
2024-12-01 08:00:00,53.9,55.9,15.9,71.0,559.0,25.0,3.0,0.7,80,135,90.03666666666666
2024-12-01 09:00:00,54.5,56.7,13.8,87.0,537.0,25.8,4.0,1.9,80,136,91.01666666666667
2024-12-01 10:00:00,55.6,58.4,9.7,111.0,479.0,26.0,5.0,3.4,80,136,117.01470588235294
2024-12-01 11:00:00,57.6,61.0,6.4,132.0,426.0,25.2,6.0,4.65,80,137,147.58823529411765
2024-12-01 12:00:00,58.2,62.6,4.4,148.0,389.0,22.8,7.0,5.05,81,138,170.88235294117646
2024-12-01 13:00:00,55.4,60.1,3.1,161.0,357.0,19.4,8.0,4.45,81,139,189.80882352941177
2024-12-01 14:00:00,51.0,55.4,3.8,165.0,337.0,16.7,8.0,3.1,81,140,195.63235294117646
2024-12-01 15:00:00,47.5,51.7,6.8,157.0,329.0,15.2,7.0,1.55,82,141,183.98529411764707
2024-12-01 16:00:00,45.8,49.4,11.7,139.0,333.0,14.5,6.0,0.5,82,142,157.77941176470588
2024-12-01 17:00:00,42.1,44.1,17.6,117.0,363.0,14.0,3.0,0.05,82,142,125.75
2024-12-01 18:00:00,49.6,51.7,32.6,90.0,446.0,15.8,3.0,0.0,82,142,90.2
2024-12-01 19:00:00,57.0,59.1,52.8,54.0,554.0,18.2,4.0,0.0,82,142,95.1
2024-12-01 20:00:00,63.3,65.2,64.0,30.0,617.0,19.5,4.0,0.0,82,142,111.88999999999999
2024-12-01 21:00:00,62.2,64.0,57.8,31.0,593.0,18.5,4.0,0.0,82,143,108.26
2024-12-01 22:00:00,55.2,56.7,42.6,45.0,523.0,16.4,3.0,0.0,82,143,92.16
2024-12-01 23:00:00,48.0,49.5,29.1,59.0,460.0,14.8,3.0,0.0,82,143,80.4
2024-12-02 00:00:00,44.8,46.4,20.6,70.0,419.0,14.3,3.0,0.0,82,142,75.17333333333333
2024-12-02 01:00:00,44.7,46.6,13.8,81.0,384.0,14.4,4.0,0.0,82,142,81.38
2024-12-02 02:00:00,45.6,47.6,9.1,89.0,362.0,14.9,4.0,0.0,82,141,89.22
2024-12-02 03:00:00,46.8,49.0,6.9,90.0,353.0,15.9,4.0,0.0,81,141,90.2
2024-12-02 04:00:00,48.4,50.6,6.8,88.0,357.0,17.3,4.0,0.0,81,140,88.24000000000001
