time,PM25,PM10,NO2,O3,CO,SO2,dust,uv_index,AQI_EU,AQI_US,AQI_India
2023-02-01 00:00:00,49.9,72.2,42.7,33.0,518.0,10.7,1.0,0.0,77,128,83.50333333333333
2023-02-01 01:00:00,48.5,70.1,29.9,45.0,458.0,10.4,1.0,0.0,77,128,81.21666666666667
2023-02-01 02:00:00,46.9,67.8,15.8,58.0,395.0,10.0,1.0,0.0,77,128,78.60333333333332
2023-02-01 03:00:00,45.4,65.7,10.3,63.0,373.0,9.6,1.0,0.0,78,128,76.15333333333334
2023-02-01 04:00:00,44.0,63.6,7.2,66.0,364.0,9.1,1.0,0.0,78,129,73.86666666666667
2023-02-01 05:00:00,43.7,63.1,6.4,70.0,374.0,10.1,0.0,0.0,78,129,73.37666666666667
2023-02-01 06:00:00,43.1,62.4,11.4,63.0,412.0,10.8,0.0,0.0,78,129,72.39666666666668
2023-02-01 07:00:00,42.7,61.7,18.5,54.0,466.0,11.8,0.0,0.05,78,129,71.74333333333334
2023-02-01 08:00:00,43.0,62.2,24.2,50.0,506.0,13.5,1.0,0.55,78,129,72.23333333333333
2023-02-01 09:00:00,42.0,61.0,22.0,60.0,484.0,15.3,2.0,1.8,78,129,70.6
2023-02-01 10:00:00,41.1,60.1,16.7,77.0,435.0,17.4,2.0,3.6,77,128,77.46000000000001
2023-02-01 11:00:00,40.6,59.5,10.2,99.0,372.0,19.0,3.0,5.35,77,126,99.02000000000001
2023-02-01 12:00:00,39.8,58.3,7.4,111.0,339.0,18.2,3.0,6.3,76,125,117.01470588235294
2023-02-01 13:00:00,38.3,56.3,5.4,122.0,311.0,16.3,4.0,6.0,76,123,133.02941176470588
2023-02-01 14:00:00,36.2,53.6,4.6,130.0,284.0,14.1,4.0,4.65,76,122,144.6764705882353
2023-02-01 15:00:00,34.1,50.8,4.7,129.0,267.0,13.3,4.0,2.8,75,121,143.22058823529412
2023-02-01 16:00:00,31.9,47.7,5.7,122.0,255.0,12.9,4.0,1.15,75,121,133.02941176470588
2023-02-01 17:00:00,22.0,31.9,12.4,110.0,267.0,11.6,1.0,0.25,75,120,115.55882352941177
2023-02-01 18:00:00,25.4,36.7,28.0,86.0,365.0,11.9,1.0,0.0,74,118,86.28
2023-02-01 19:00:00,29.8,43.0,50.1,52.0,504.0,12.3,0.0,0.0,74,116,63.3725
2023-02-01 20:00:00,32.2,46.3,71.5,17.0,638.0,12.6,0.0,0.0,73,114,89.5875
2023-02-01 21:00:00,33.3,47.8,74.3,10.0,654.0,12.7,0.0,0.0,72,112,93.0175
2023-02-01 22:00:00,32.1,46.2,70.4,12.0,627.0,12.7,0.0,0.0,72,111,88.24000000000001
2023-02-01 23:00:00,29.8,42.8,60.3,21.0,564.0,12.5,0.0,0.0,71,109,75.86749999999999
2023-02-02 00:00:00,27.1,38.9,48.9,32.0,498.0,12.1,0.0,0.0,71,107,61.902499999999996
2023-02-02 01:00:00,24.8,35.6,34.1,46.0,415.0,11.5,0.0,0.0,70,104,46.0
2023-02-02 02:00:00,23.5,33.8,18.0,62.0,326.0,10.8,0.0,0.0,69,102,62.76
2023-02-02 03:00:00,22.9,32.9,11.5,68.0,293.0,10.4,0.0,0.0,68,100,68.64
2023-02-02 04:00:00,23.0,33.1,7.8,72.0,279.0,10.0,0.0,0.0,67,98,72.56
2023-02-02 05:00:00,23.7,34.0,7.6,71.0,289.0,10.2,0.0,0.0,67,96,71.58
2023-02-02 06:00:00,24.7,35.5,12.4,65.0,329.0,10.8,0.0,0.0,66,95,65.7
2023-02-02 07:00:00,26.4,37.8,19.2,57.0,385.0,11.8,0.0,0.05,65,93,57.86
2023-02-02 08:00:00,28.9,41.6,25.2,52.0,434.0,13.3,0.0,0.65,65,92,52.96
2023-02-02 09:00:00,30.6,43.9,24.9,58.0,429.0,14.8,0.0,2.1,64,91,58.84
2023-02-02 10:00:00,32.2,46.3,22.0,70.0,402.0,16.6,0.0,4.25,64,90,70.6
2023-02-02 11:00:00,31.7,45.4,17.4,87.0,357.0,18.1,0.0,6.25,64,89,87.25999999999999
2023-02-02 12:00:00,29.2,42.0,13.5,101.0,318.0,17.7,0.0,7.35,63,88,102.45588235294117
2023-02-02 13:00:00,27.8,39.9,9.0,116.0,273.0,16.6,0.0,7.05,63,88,124.29411764705883
2023-02-02 14:00:00,25.3,36.4,6.0,128.0,232.0,15.0,0.0,5.45,63,87,141.76470588235293
2023-02-02 15:00:00,22.1,31.9,6.4,126.0,213.0,14.1,0.0,3.25,62,86,138.85294117647058
2023-02-02 16:00:00,20.1,29.0,8.8,118.0,204.0,13.1,0.0,1.35,62,85,127.20588235294117
2023-02-02 17:00:00,20.8,29.9,18.6,103.0,268.0,12.0,0.0,0.3,62,84,105.36764705882354
2023-02-02 18:00:00,31.0,44.4,35.2,78.0,426.0,12.6,0.0,0.0,62,84,78.44
2023-02-02 19:00:00,39.7,56.8,58.7,44.0,650.0,13.4,0.0,0.0,62,84,73.9075
2023-02-02 20:00:00,41.9,59.8,82.4,7.0,892.0,14.2,0.0,0.0,62,85,103.376
2023-02-02 21:00:00,44.7,64.0,86.5,0.0,974.0,14.3,0.0,0.0,62,86,107.435
2023-02-02 22:00:00,47.0,67.3,83.9,0.0,1008.0,14.1,0.0,0.0,63,87,104.861
2023-02-02 23:00:00,47.1,67.5,78.3,1.0,990.0,13.5,0.0,0.0,63,88,97.91749999999999
2023-02-03 00:00:00,45.2,64.5,75.7,1.0,915.0,12.7,0.0,0.0,64,89,94.7325
2023-02-03 01:00:00,42.8,61.2,72.5,3.0,795.0,11.6,0.0,0.0,64,91,90.8125
2023-02-03 02:00:00,40.7,58.3,65.0,8.0,642.0,10.4,0.0,0.0,65,92,81.625
2023-02-03 03:00:00,38.8,55.5,54.2,16.0,549.0,9.8,0.0,0.0,66,94,68.39500000000001
2023-02-03 04:00:00,37.0,53.0,40.6,27.0,464.0,9.3,0.0,0.0,66,95,62.43333333333334
2023-02-03 05:00:00,34.7,49.6,25.2,42.0,389.0,10.0,0.0,0.0,67,96,58.67666666666667
