time,PM25,PM10,NO2,O3,CO,SO2,dust,uv_index,AQI_EU,AQI_US,AQI_India
2025-01-01 00:00:00,47.6,47.7,29.3,49.0,650.0,13.8,0.0,0.0,72,112,79.74666666666667
2025-01-01 01:00:00,44.4,44.5,26.1,47.0,601.0,12.1,0.0,0.0,73,114,74.52
2025-01-01 02:00:00,41.4,41.6,23.1,45.0,565.0,10.7,0.0,0.0,73,115,69.62
2025-01-01 03:00:00,38.9,38.9,20.5,43.0,557.0,9.8,0.0,0.0,74,117,65.53666666666666
2025-01-01 04:00:00,36.9,37.0,18.2,41.0,563.0,9.2,0.0,0.0,74,118,62.269999999999996
2025-01-01 05:00:00,34.1,34.1,15.0,47.0,574.0,9.7,0.0,0.0,75,119,57.69666666666667
2025-01-01 06:00:00,37.5,37.7,16.0,45.0,597.0,10.5,0.0,0.0,75,120,63.25
2025-01-01 07:00:00,44.7,44.9,17.1,42.0,625.0,11.7,0.0,0.05,75,121,75.01
2025-01-01 08:00:00,49.8,50.1,17.1,47.0,632.0,13.2,0.0,0.45,75,122,83.34
2025-01-01 09:00:00,52.5,52.7,14.7,63.0,602.0,15.5,0.0,1.55,76,123,87.75
2025-01-01 10:00:00,55.4,55.6,11.1,87.0,551.0,18.2,1.0,3.05,76,124,92.48666666666666
2025-01-01 11:00:00,56.2,56.6,8.1,108.0,502.0,19.9,1.0,4.4,76,125,112.6470588235294
2025-01-01 12:00:00,52.5,53.0,5.7,127.0,460.0,19.7,1.0,5.05,77,126,140.30882352941177
2025-01-01 13:00:00,47.0,47.5,3.8,145.0,420.0,18.6,1.0,4.6,77,126,166.51470588235293
2025-01-01 14:00:00,43.2,43.9,4.2,153.0,395.0,17.5,1.0,3.35,77,126,178.16176470588235
2025-01-01 15:00:00,41.2,42.4,7.7,146.0,386.0,16.7,2.0,1.85,77,125,167.97058823529412
2025-01-01 16:00:00,40.4,41.9,13.5,130.0,391.0,16.1,2.0,0.65,76,125,144.6764705882353
2025-01-01 17:00:00,34.8,35.3,20.3,114.0,417.0,16.2,1.0,0.1,76,125,121.38235294117646
2025-01-01 18:00:00,44.8,45.3,31.5,92.0,484.0,17.4,1.0,0.0,76,124,92.16
2025-01-01 19:00:00,51.1,51.6,46.6,63.0,572.0,18.9,1.0,0.0,76,124,85.46333333333334
2025-01-01 20:00:00,50.4,50.9,55.9,41.0,633.0,19.7,1.0,0.0,76,125,84.32
2025-01-01 21:00:00,49.8,50.3,54.1,36.0,646.0,19.0,1.0,0.0,76,125,83.34
2025-01-01 22:00:00,49.4,49.8,46.4,39.0,632.0,17.6,1.0,0.0,76,125,82.68666666666667
2025-01-01 23:00:00,48.0,48.4,38.7,42.0,603.0,16.0,1.0,0.0,76,125,80.4
2025-01-02 00:00:00,45.2,45.6,32.9,43.0,552.0,14.4,1.0,0.0,76,125,75.82666666666667
2025-01-02 01:00:00,41.9,42.5,27.1,46.0,487.0,12.7,1.0,0.0,76,125,70.43666666666667
2025-01-02 02:00:00,38.6,39.3,21.9,48.0,442.0,11.6,1.0,0.0,76,124,65.04666666666667
2025-01-02 03:00:00,35.9,36.8,17.2,52.0,432.0,11.6,1.0,0.0,76,124,60.63666666666666
2025-01-02 04:00:00,34.5,35.5,13.1,55.0,443.0,12.2,2.0,0.0,76,124,58.35
2025-01-02 05:00:00,35.4,36.6,12.5,52.0,467.0,12.3,2.0,0.0,76,124,59.81999999999999
2025-01-02 06:00:00,36.3,37.6,14.2,49.0,514.0,12.9,2.0,0.0,76,124,61.28999999999999
2025-01-02 07:00:00,40.0,41.1,16.3,45.0,574.0,13.9,2.0,0.05,76,124,67.33333333333333
2025-01-02 08:00:00,44.0,44.8,17.0,49.0,605.0,14.9,2.0,0.5,76,123,73.86666666666667
2025-01-02 09:00:00,46.0,46.8,14.9,66.0,584.0,16.0,2.0,1.6,76,123,77.13333333333333
2025-01-02 10:00:00,48.4,49.5,11.2,90.0,534.0,17.2,2.0,3.1,75,122,90.2
2025-01-02 11:00:00,49.4,50.6,8.2,113.0,487.0,18.2,2.0,4.5,75,121,119.92647058823529
2025-01-02 12:00:00,45.8,47.1,6.0,133.0,448.0,19.1,2.0,5.15,75,120,149.04411764705884
2025-01-02 13:00:00,41.1,42.4,4.4,151.0,411.0,19.8,2.0,4.75,75,120,175.25
