time,PM25,PM10,NO2,O3,CO,SO2,dust,uv_index,AQI_EU,AQI_US,AQI_India
2024-06-01 00:00:00,12.2,23.9,10.1,51.0,175.0,4.9,19.0,0.0,45,60,51.98
2024-06-01 01:00:00,10.4,20.9,6.7,49.0,147.0,3.8,16.0,0.0,45,60,49.0
2024-06-01 02:00:00,9.8,20.2,4.5,46.0,127.0,3.1,15.0,0.0,44,60,46.0
2024-06-01 03:00:00,9.7,20.5,4.5,42.0,123.0,3.1,15.0,0.0,44,60,42.0
2024-06-01 04:00:00,9.8,21.2,5.8,39.0,128.0,3.5,16.0,0.0,44,60,39.0
2024-06-01 05:00:00,9.9,21.8,5.9,40.0,130.0,3.9,19.0,0.0,44,60,40.0
2024-06-01 06:00:00,10.3,25.0,5.3,43.0,132.0,3.9,26.0,0.15,44,60,43.0
2024-06-01 07:00:00,10.8,28.3,4.3,48.0,135.0,3.8,35.0,0.95,44,60,48.0
2024-06-01 08:00:00,11.1,34.6,3.5,55.0,137.0,3.8,47.0,2.6,44,60,55.9
2024-06-01 09:00:00,11.5,40.5,2.8,65.0,136.0,3.8,62.0,5.2,44,60,65.7
2024-06-01 10:00:00,12.0,46.4,2.2,76.0,135.0,3.8,79.0,8.0,43,59,76.48
2024-06-01 11:00:00,12.6,52.3,1.8,85.0,133.0,3.7,92.0,10.25,43,59,85.3
2024-06-01 12:00:00,13.2,56.8,1.6,91.0,132.0,3.5,96.0,11.1,43,59,91.18
2024-06-01 13:00:00,13.6,56.9,1.5,94.0,132.0,3.3,97.0,10.35,43,59,94.12
2024-06-01 14:00:00,13.6,54.8,1.6,97.0,132.0,3.1,99.0,7.95,42,59,97.06
2024-06-01 15:00:00,13.9,55.8,1.4,100.0,130.0,2.8,109.0,5.05,41,59,100.0
2024-06-01 16:00:00,14.6,60.8,1.3,101.0,129.0,2.5,122.0,2.6,41,58,102.45588235294117
2024-06-01 17:00:00,15.2,62.9,2.9,97.0,145.0,2.4,118.0,0.9,40,58,97.06
2024-06-01 18:00:00,16.1,66.1,8.0,86.0,178.0,3.4,104.0,0.15,40,58,86.28
2024-06-01 19:00:00,17.8,53.7,14.9,72.0,223.0,4.9,84.0,0.0,41,58,72.56
2024-06-01 20:00:00,19.8,51.3,19.1,60.0,249.0,5.9,67.0,0.0,42,58,60.8
2024-06-01 21:00:00,19.6,47.4,18.1,55.0,240.0,6.2,54.0,0.0,43,59,55.9
2024-06-01 22:00:00,18.2,40.5,14.5,53.0,212.0,6.1,43.0,0.0,43,58,53.94
2024-06-01 23:00:00,15.9,34.9,11.0,52.0,185.0,5.7,36.0,0.0,43,58,52.96
2024-06-02 00:00:00,13.7,31.7,8.5,50.0,165.0,4.7,36.0,0.0,43,58,50.0
2024-06-02 01:00:00,12.7,32.0,6.2,48.0,146.0,3.5,40.0,0.0,44,58,48.0
2024-06-02 02:00:00,12.2,33.3,4.8,46.0,133.0,2.6,45.0,0.0,45,59,46.0
2024-06-02 03:00:00,11.8,34.8,4.8,43.0,130.0,2.5,47.0,0.0,46,59,43.0
2024-06-02 04:00:00,11.6,36.3,5.7,39.0,132.0,2.9,50.0,0.0,47,59,39.0
2024-06-02 05:00:00,11.0,35.7,6.2,37.0,134.0,3.4,55.0,0.0,48,59,37.0
2024-06-02 06:00:00,11.3,43.3,5.5,41.0,135.0,3.6,72.0,0.15,49,59,43.3
2024-06-02 07:00:00,11.4,50.3,4.4,46.0,135.0,3.8,97.0,0.85,51,59,51.294
2024-06-02 08:00:00,12.0,62.2,3.5,54.0,136.0,3.9,121.0,2.45,53,59,62.956
2024-06-02 09:00:00,13.1,73.8,2.8,65.0,136.0,3.9,142.0,4.8,55,59,74.324
2024-06-02 10:00:00,14.2,81.5,2.3,77.0,135.0,3.7,163.0,7.35,58,60,81.87
2024-06-02 11:00:00,15.3,88.2,1.9,88.0,135.0,3.6,183.0,9.3,60,60,88.436
2024-06-02 12:00:00,16.2,95.0,1.7,95.0,135.0,3.5,204.0,10.0,61,60,95.1
2024-06-02 13:00:00,17.5,102.4,1.6,100.0,136.0,3.3,224.0,9.3,61,60,102.584
2024-06-02 14:00:00,18.7,111.5,1.7,104.0,137.0,3.2,240.0,7.15,62,60,108.59
2024-06-02 15:00:00,19.9,118.5,0.7,108.0,130.0,2.8,254.0,4.5,63,61,113.21000000000001
2024-06-02 16:00:00,20.7,121.5,0.0,111.0,123.0,2.5,265.0,2.3,64,61,117.01470588235294
2024-06-02 17:00:00,20.5,115.5,3.3,111.0,149.0,4.3,247.0,0.85,65,62,117.01470588235294
2024-06-02 18:00:00,20.8,115.5,16.1,91.0,234.0,6.5,232.0,0.15,66,62,111.23
2024-06-02 19:00:00,26.0,96.4,33.7,64.0,351.0,9.4,210.0,0.0,67,63,96.47200000000001
2024-06-02 20:00:00,33.1,113.2,46.7,42.0,442.0,11.6,189.0,0.0,68,63,109.712
2024-06-02 21:00:00,36.9,117.1,51.8,30.0,489.0,12.5,171.0,0.0,69,64,112.286
2024-06-02 22:00:00,36.8,111.3,52.3,23.0,509.0,12.6,153.0,0.0,70,66,108.458
2024-06-02 23:00:00,32.8,93.4,49.0,20.0,494.0,11.9,131.0,0.0,71,67,93.53200000000001
2024-06-03 00:00:00,25.3,63.8,39.8,23.0,422.0,10.1,98.0,0.0,72,68,64.524
2024-06-03 01:00:00,19.6,43.1,26.7,30.0,314.0,7.5,61.0,0.0,72,69,43.1
2024-06-03 02:00:00,18.4,38.3,16.4,36.0,227.0,5.5,36.0,0.0,73,70,38.3
2024-06-03 03:00:00,19.3,42.1,11.7,38.0,182.0,4.5,31.0,0.0,73,70,42.1
2024-06-03 04:00:00,18.9,44.1,9.8,38.0,157.0,3.9,38.0,0.0,73,71,44.1
2024-06-03 05:00:00,19.0,42.8,11.8,33.0,170.0,3.6,46.0,0.0,73,72,42.8
2024-06-03 06:00:00,17.5,42.5,9.9,37.0,160.0,3.9,52.0,0.15,73,72,42.5
2024-06-03 07:00:00,15.8,46.0,7.2,42.0,147.0,4.4,62.0,0.85,73,73,46.0
2024-06-03 08:00:00,15.6,52.7,4.9,51.0,137.0,4.7,81.0,2.5,73,73,53.646
2024-06-03 09:00:00,17.0,64.7,3.5,66.0,134.0,4.7,118.0,4.95,73,73,66.68
2024-06-03 10:00:00,19.7,84.3,2.5,85.0,135.0,4.6,163.0,7.05,73,74,85.3
2024-06-03 11:00:00,22.4,101.0,1.9,99.0,136.0,4.4,191.0,8.7,73,74,101.66
2024-06-03 12:00:00,22.5,99.7,1.6,106.0,137.0,4.3,188.0,9.45,73,75,109.73529411764706
2024-06-03 13:00:00,21.8,92.0,1.6,110.0,138.0,4.2,169.0,8.75,73,75,115.55882352941177
2024-06-03 14:00:00,21.0,83.4,1.8,111.0,139.0,4.1,150.0,6.8,73,75,117.01470588235294
2024-06-03 15:00:00,20.0,75.7,1.2,112.0,135.0,3.8,138.0,4.4,72,76,118.47058823529412
2024-06-03 16:00:00,19.0,69.6,0.8,110.0,131.0,3.4,126.0,2.3,72,76,115.55882352941177
2024-06-03 17:00:00,18.6,69.4,2.9,99.0,149.0,2.8,122.0,0.85,71,75,99.02000000000001
2024-06-03 18:00:00,18.7,68.9,8.7,87.0,187.0,3.8,108.0,0.15,70,75,87.25999999999999
2024-06-03 19:00:00,20.1,60.3,16.7,70.0,240.0,5.1,89.0,0.0,69,75,70.6
2024-06-03 20:00:00,23.5,58.2,22.3,57.0,277.0,6.2,73.0,0.0,69,75,59.036
2024-06-03 21:00:00,25.1,59.3,23.9,50.0,288.0,6.9,62.0,0.0,68,74,60.114
2024-06-03 22:00:00,24.6,54.5,23.1,48.0,283.0,7.3,54.0,0.0,67,73,55.41
2024-06-03 23:00:00,22.6,48.4,20.9,47.0,265.0,7.1,47.0,0.0,66,72,48.4
2024-06-04 00:00:00,19.6,42.5,16.4,50.0,225.0,5.8,42.0,0.0,65,71,50.0
2024-06-04 01:00:00,16.5,37.4,10.3,56.0,172.0,4.0,39.0,0.0,65,71,56.88
2024-06-04 02:00:00,14.3,33.8,6.0,59.0,133.0,2.8,37.0,0.0,65,71,59.82
2024-06-04 03:00:00,13.2,31.3,5.1,55.0,120.0,2.9,33.0,0.0,65,70,55.9
2024-06-04 04:00:00,12.9,30.0,6.0,47.0,121.0,3.8,30.0,0.0,64,70,47.0
2024-06-04 05:00:00,13.1,30.6,6.6,44.0,124.0,4.5,32.0,0.0,64,69,44.0
2024-06-04 06:00:00,13.6,36.1,6.1,46.0,127.0,4.7,41.0,0.15,64,69,46.0
2024-06-04 07:00:00,14.1,40.4,5.4,49.0,132.0,4.9,53.0,0.9,64,68,49.0
2024-06-04 08:00:00,14.8,46.0,4.6,55.0,135.0,4.9,67.0,2.55,64,68,55.9
2024-06-04 09:00:00,15.6,51.8,3.7,68.0,135.0,4.6,83.0,5.1,64,68,68.64
2024-06-04 10:00:00,16.9,58.7,2.6,84.0,134.0,4.2,99.0,7.95,63,68,84.32
2024-06-04 11:00:00,18.1,65.4,1.9,96.0,133.0,3.9,111.0,10.15,63,68,96.08
2024-06-04 12:00:00,18.7,68.9,1.6,101.0,132.0,3.8,115.0,10.3,62,68,102.45588235294117
2024-06-04 13:00:00,18.6,67.5,1.6,102.0,131.0,3.8,113.0,9.65,62,67,103.91176470588235
2024-06-04 14:00:00,18.2,63.8,1.7,102.0,131.0,3.7,109.0,7.85,61,67,103.91176470588235
2024-06-04 15:00:00,17.5,59.5,1.4,102.0,129.0,3.3,103.0,5.15,61,67,103.91176470588235
2024-06-04 16:00:00,16.8,55.6,1.3,100.0,127.0,2.9,95.0,2.8,61,67,100.0
2024-06-04 17:00:00,17.0,56.2,2.6,96.0,136.0,2.1,92.0,1.0,61,66,96.08
2024-06-04 18:00:00,17.6,55.1,5.2,90.0,152.0,2.8,81.0,0.15,60,66,90.2
2024-06-04 19:00:00,18.9,49.8,8.8,82.0,174.0,3.8,66.0,0.0,60,66,82.36
2024-06-04 20:00:00,20.5,48.5,11.2,76.0,187.0,4.6,55.0,0.0,60,66,76.48
2024-06-04 21:00:00,21.5,49.7,11.4,74.0,185.0,4.9,51.0,0.0,59,66,74.52
2024-06-04 22:00:00,21.5,49.9,10.5,73.0,175.0,5.0,51.0,0.0,58,66,73.53999999999999
2024-06-04 23:00:00,19.9,46.4,9.3,71.0,161.0,4.9,51.0,0.0,58,65,71.58
2024-06-05 00:00:00,16.9,41.7,7.8,67.0,142.0,4.4,52.0,0.0,58,65,67.66
2024-06-05 01:00:00,15.4,40.0,6.0,63.0,120.0,3.6,53.0,0.0,58,65,63.74
2024-06-05 02:00:00,14.9,40.5,4.8,58.0,104.0,3.2,55.0,0.0,58,65,58.84
2024-06-05 03:00:00,15.0,42.3,5.0,53.0,99.0,3.4,55.0,0.0,59,65,53.94
2024-06-05 04:00:00,15.1,42.6,5.8,48.0,101.0,3.8,55.0,0.0,60,65,48.0
2024-06-05 05:00:00,15.7,44.5,6.6,45.0,105.0,3.9,61.0,0.0,60,65,45.0
2024-06-05 06:00:00,16.4,54.1,5.8,48.0,107.0,4.2,75.0,0.15,60,65,55.018
2024-06-05 07:00:00,17.0,61.9,4.8,52.0,109.0,4.5,95.0,0.85,61,66,62.662
2024-06-05 08:00:00,17.5,65.7,3.8,59.0,111.0,4.6,111.0,2.5,61,66,66.386
2024-06-05 09:00:00,18.1,68.0,3.0,71.0,112.0,4.3,120.0,5.05,61,66,71.58
2024-06-05 10:00:00,18.6,69.8,2.3,85.0,114.0,3.9,125.0,7.9,62,66,85.3
2024-06-05 11:00:00,18.7,71.5,1.8,96.0,115.0,3.4,126.0,10.1,62,66,96.08
2024-06-05 12:00:00,18.6,71.5,1.5,100.0,116.0,3.0,122.0,11.0,62,67,100.0
2024-06-05 13:00:00,17.9,67.1,1.4,99.0,117.0,2.7,114.0,10.25,62,67,99.02000000000001
2024-06-05 14:00:00,17.1,61.5,1.5,99.0,119.0,2.4,108.0,8.15,62,66,99.02000000000001
2024-06-05 15:00:00,16.8,58.2,1.3,101.0,119.0,2.1,106.0,5.4,62,66,102.45588235294117
2024-06-05 16:00:00,16.8,57.3,1.2,103.0,119.0,1.9,105.0,2.75,62,66,105.36764705882354
2024-06-05 17:00:00,15.8,55.1,2.6,105.0,134.0,2.0,96.0,1.0,62,66,108.27941176470588
2024-06-05 18:00:00,16.9,56.7,7.4,95.0,165.0,3.2,86.0,0.2,62,66,95.1
2024-06-05 19:00:00,19.2,49.0,13.9,82.0,206.0,4.8,71.0,0.0,62,66,82.36
2024-06-05 20:00:00,22.0,50.5,17.5,72.0,227.0,5.8,59.0,0.0,62,66,72.56
2024-06-05 21:00:00,22.4,51.0,15.6,69.0,207.0,5.5,53.0,0.0,62,66,69.62
2024-06-05 22:00:00,20.1,45.9,10.9,70.0,167.0,4.6,49.0,0.0,62,66,70.6
2024-06-05 23:00:00,16.5,38.4,7.1,69.0,134.0,3.8,46.0,0.0,62,66,69.62
2024-06-06 00:00:00,13.8,33.6,5.7,65.0,119.0,3.3,43.0,0.0,62,66,65.7
2024-06-06 01:00:00,12.5,31.4,5.1,60.0,112.0,2.9,41.0,0.0,62,66,60.8
2024-06-06 02:00:00,11.9,30.5,5.0,55.0,108.0,2.8,39.0,0.0,61,66,55.9
2024-06-06 03:00:00,11.8,29.8,5.3,51.0,107.0,3.0,36.0,0.0,61,65,51.98
2024-06-06 04:00:00,12.0,29.6,5.9,47.0,110.0,3.5,33.0,0.0,61,65,47.0
2024-06-06 05:00:00,12.1,29.3,6.3,45.0,116.0,3.4,33.0,0.0,61,65,45.0
2024-06-06 06:00:00,13.0,34.0,5.8,47.0,120.0,3.8,41.0,0.15,61,65,47.0
2024-06-06 07:00:00,13.7,39.9,5.2,50.0,124.0,4.4,52.0,0.9,60,64,50.0
2024-06-06 08:00:00,14.3,44.4,4.4,57.0,128.0,4.7,64.0,2.6,60,64,57.86
2024-06-06 09:00:00,15.0,49.1,3.5,70.0,129.0,4.3,77.0,5.2,58,64,70.6
2024-06-06 10:00:00,16.1,54.6,2.5,87.0,130.0,3.7,91.0,8.25,56,63,87.25999999999999
2024-06-06 11:00:00,17.2,60.8,1.8,100.0,129.0,3.1,100.0,10.7,55,63,100.0
2024-06-06 12:00:00,17.9,63.1,1.5,105.0,127.0,2.8,102.0,11.65,54,63,108.27941176470588
2024-06-06 13:00:00,17.6,60.5,1.4,107.0,125.0,2.6,100.0,10.85,53,63,111.19117647058823
2024-06-06 14:00:00,17.2,58.2,1.5,107.0,124.0,2.5,97.0,8.55,53,63,111.19117647058823
2024-06-06 15:00:00,16.9,56.2,0.8,109.0,119.0,2.3,95.0,5.65,53,63,114.1029411764706
2024-06-06 16:00:00,16.9,54.9,0.3,110.0,115.0,2.2,93.0,2.9,52,63,115.55882352941177
2024-06-06 17:00:00,18.3,63.8,2.9,112.0,140.0,2.3,110.0,1.05,52,63,118.47058823529412
2024-06-06 18:00:00,18.3,62.6,12.6,94.0,205.0,3.9,101.0,0.2,53,63,94.12
2024-06-06 19:00:00,21.4,53.6,25.9,70.0,295.0,6.1,88.0,0.0,53,63,70.6
2024-06-06 20:00:00,27.3,64.5,35.5,51.0,362.0,7.9,76.0,0.0,54,64,65.21000000000001
2024-06-06 21:00:00,31.5,71.0,38.6,42.0,391.0,9.3,69.0,0.0,55,64,71.58
2024-06-06 22:00:00,32.1,69.2,38.1,37.0,397.0,10.4,63.0,0.0,57,65,69.816
2024-06-06 23:00:00,28.7,60.5,34.8,36.0,378.0,10.4,56.0,0.0,59,66,61.29
2024-06-07 00:00:00,24.0,49.8,27.5,39.0,318.0,8.7,46.0,0.0,60,67,49.8
2024-06-07 01:00:00,19.8,39.6,17.6,46.0,233.0,5.9,34.0,0.0,60,67,46.0
