time,PM25,PM10,NO2,O3,CO,SO2,dust,uv_index,AQI_EU,AQI_US,AQI_India
2024-03-01 00:00:00,59.3,93.8,72.8,18.0,1156.0,24.6,26.0,0.0,66,94,98.85666666666665
2024-03-01 01:00:00,51.3,81.7,57.7,26.0,1036.0,19.6,22.0,0.0,67,97,85.78999999999999
2024-03-01 02:00:00,46.2,73.8,45.4,32.0,933.0,15.7,18.0,0.0,68,99,77.46000000000001
2024-03-01 03:00:00,44.1,70.3,38.8,32.0,871.0,14.1,15.0,0.0,69,102,74.03
2024-03-01 04:00:00,43.7,68.9,35.1,29.0,826.0,13.6,13.0,0.0,70,104,73.37666666666667
2024-03-01 05:00:00,41.6,64.3,25.5,39.0,700.0,14.1,9.0,0.0,71,107,69.94666666666667
2024-03-01 06:00:00,43.1,68.0,28.8,36.0,752.0,14.6,9.0,0.0,71,108,72.39666666666668
2024-03-01 07:00:00,45.8,71.7,33.0,35.0,817.0,15.2,9.0,0.15,72,110,76.80666666666666
2024-03-01 08:00:00,51.6,79.6,33.1,46.0,819.0,15.3,9.0,0.95,72,112,86.28
2024-03-01 09:00:00,44.9,70.5,25.3,85.0,702.0,14.7,7.0,2.8,73,114,85.3
2024-03-01 10:00:00,39.2,62.2,13.4,137.0,522.0,13.7,5.0,5.4,73,115,154.86764705882354
2024-03-01 11:00:00,36.6,57.7,4.5,171.0,376.0,12.4,3.0,7.75,73,116,208.425
2024-03-01 12:00:00,33.3,52.4,1.7,172.0,303.0,10.8,2.0,8.95,74,116,210.9
2024-03-01 13:00:00,27.4,43.4,1.9,156.0,264.0,8.9,2.0,8.6,73,116,182.52941176470588
2024-03-01 14:00:00,22.2,35.5,2.5,140.0,237.0,7.2,2.0,6.8,73,115,159.23529411764707
2024-03-01 15:00:00,19.2,31.1,2.1,129.0,211.0,5.8,3.0,4.25,73,115,143.22058823529412
2024-03-01 16:00:00,18.0,29.5,2.1,117.0,196.0,4.6,3.0,1.85,73,114,125.75
2024-03-01 17:00:00,12.2,19.3,3.8,108.0,205.0,3.5,1.0,0.5,73,114,112.6470588235294
2024-03-01 18:00:00,14.6,23.1,7.2,99.0,229.0,4.4,1.0,0.0,73,114,99.02000000000001
2024-03-01 19:00:00,17.5,27.4,11.7,87.0,262.0,5.6,2.0,0.0,72,112,87.25999999999999
2024-03-01 20:00:00,19.2,30.5,14.2,78.0,279.0,6.2,2.0,0.0,72,110,78.44
