time,PM25,PM10,NO2,O3,CO,SO2,dust,uv_index,AQI_EU,AQI_US,AQI_India
2023-05-01 00:00:00,29.4,51.0,52.2,18.0,514.0,15.7,18.0,0.0,43,72,65.94500000000001
2023-05-01 01:00:00,27.9,48.4,43.7,23.0,435.0,14.5,17.0,0.0,43,72,55.532500000000006
2023-05-01 02:00:00,25.4,44.1,33.4,29.0,343.0,12.8,16.0,0.0,43,72,44.1
2023-05-01 03:00:00,22.5,38.9,28.0,29.0,307.0,11.8,14.0,0.0,42,72,38.9
2023-05-01 04:00:00,21.0,36.0,23.6,28.0,285.0,10.7,13.0,0.0,40,71,36.0
2023-05-01 05:00:00,19.0,32.2,18.8,29.0,263.0,9.7,10.0,0.0,39,70,32.2
2023-05-01 06:00:00,18.2,30.9,17.5,31.0,262.0,9.4,10.0,0.1,38,69,31.0
2023-05-01 07:00:00,16.9,29.0,15.5,35.0,259.0,9.1,11.0,0.75,38,69,35.0
2023-05-01 08:00:00,11.6,22.7,12.6,44.0,248.0,8.6,13.0,2.35,38,69,44.0
2023-05-01 09:00:00,10.2,22.7,10.1,56.0,227.0,8.3,17.0,4.65,38,69,56.88
2023-05-01 10:00:00,10.8,26.0,7.2,72.0,199.0,8.1,22.0,6.6,38,69,72.56
2023-05-01 11:00:00,12.1,29.1,4.4,90.0,170.0,7.8,27.0,8.75,37,68,90.2
2023-05-01 12:00:00,12.9,30.7,3.5,100.0,162.0,7.6,28.0,9.2,40,68,100.0
2023-05-01 13:00:00,13.1,30.5,3.3,109.0,160.0,7.4,28.0,9.05,46,68,114.1029411764706
2023-05-01 14:00:00,13.0,29.9,3.7,115.0,161.0,6.9,27.0,6.4,50,68,122.83823529411765
2023-05-01 15:00:00,12.5,28.6,4.4,113.0,160.0,6.2,25.0,3.55,49,68,119.92647058823529
2023-05-01 16:00:00,12.1,27.0,5.5,108.0,160.0,5.3,23.0,1.05,45,68,112.6470588235294
2023-05-01 17:00:00,9.8,21.6,6.9,94.0,166.0,4.9,16.0,0.6,38,68,94.12
2023-05-01 18:00:00,11.7,23.2,10.3,87.0,183.0,5.9,14.0,0.1,37,68,87.25999999999999
2023-05-01 19:00:00,15.1,27.4,15.2,76.0,208.0,7.4,12.0,0.0,37,68,76.48
2023-05-01 20:00:00,15.4,27.5,21.2,63.0,246.0,9.4,9.0,0.0,37,68,63.74
2023-05-01 21:00:00,16.3,28.5,24.7,56.0,282.0,10.6,8.0,0.0,36,67,56.88
