time,PM25,PM10,NO2,O3,CO,SO2,dust,uv_index,AQI_EU,AQI_US,AQI_India
2023-11-01 00:00:00,42.3,68.5,23.2,55.0,523.0,9.1,3.0,0.0,74,117,71.08999999999999
2023-11-01 01:00:00,35.7,58.1,15.7,63.0,424.0,7.7,2.0,0.0,73,115,63.74
2023-11-01 02:00:00,30.3,49.6,10.3,68.0,348.0,6.7,2.0,0.0,73,114,68.64
2023-11-01 03:00:00,26.8,44.2,7.8,67.0,308.0,6.4,2.0,0.0,72,112,67.66
2023-11-01 04:00:00,25.1,41.7,7.4,63.0,292.0,6.5,3.0,0.0,72,111,63.74
2023-11-01 05:00:00,24.9,41.0,8.8,57.0,310.0,6.5,2.0,0.0,71,110,57.86
2023-11-01 06:00:00,24.9,41.1,11.7,50.0,354.0,7.0,2.0,0.0,71,108,50.0
2023-11-01 07:00:00,27.0,44.4,15.5,43.0,414.0,7.7,2.0,0.25,71,108,45.0
2023-11-01 08:00:00,29.7,48.3,17.2,47.0,449.0,8.7,3.0,1.15,71,107,49.5
2023-11-01 09:00:00,32.2,52.7,14.6,75.0,440.0,10.2,5.0,2.75,70,106,75.5
2023-11-01 10:00:00,35.0,58.1,9.8,115.0,407.0,12.0,8.0,4.65,70,105,122.83823529411765
2023-11-01 11:00:00,36.7,62.4,6.0,146.0,371.0,13.0,11.0,6.05,70,104,167.97058823529412
2023-11-01 12:00:00,34.2,60.8,3.6,160.0,330.0,12.6,13.0,6.4,69,103,188.3529411764706
2023-11-01 13:00:00,31.5,58.4,2.2,164.0,286.0,11.4,14.0,5.25,69,103,194.1764705882353
2023-11-01 14:00:00,28.4,53.1,3.2,161.0,268.0,10.4,14.0,3.4,69,103,189.80882352941177
2023-11-01 15:00:00,26.5,49.5,7.6,151.0,287.0,9.8,12.0,1.8,69,103,175.25
2023-11-01 16:00:00,28.2,50.8,14.4,134.0,332.0,9.4,9.0,0.6,69,103,150.5
2023-11-01 17:00:00,44.4,77.1,28.1,123.0,434.0,9.9,14.0,0.05,69,103,134.48529411764707
2023-11-01 18:00:00,54.6,92.0,44.9,96.0,597.0,12.4,14.0,0.0,70,112,96.08
2023-11-01 19:00:00,62.2,102.9,67.6,58.0,820.0,15.8,14.0,0.0,70,108,108.26
2023-11-01 20:00:00,67.1,109.4,81.4,31.0,975.0,17.7,14.0,0.0,70,104,124.42999999999998
2023-11-01 21:00:00,68.5,111.5,78.6,24.0,1004.0,16.9,12.0,0.0,70,105,129.05
2023-11-01 22:00:00,66.1,106.9,67.0,27.0,965.0,14.7,10.0,0.0,71,107,121.12999999999998
2023-11-01 23:00:00,60.3,97.6,54.7,32.0,904.0,12.6,8.0,0.0,71,108,101.99
2023-11-02 00:00:00,54.8,89.4,43.4,37.0,823.0,10.9,7.0,0.0,71,109,91.50666666666666
2023-11-02 01:00:00,51.5,84.1,31.4,43.0,720.0,9.2,6.0,0.0,72,111,86.11666666666667
2023-11-02 02:00:00,48.9,80.1,22.0,48.0,632.0,8.0,5.0,0.0,72,112,81.87
2023-11-02 03:00:00,46.2,76.1,16.7,49.0,570.0,7.3,5.0,0.0,73,114,77.46000000000001
2023-11-02 04:00:00,43.5,72.2,14.0,48.0,524.0,7.0,5.0,0.0,74,116,73.05
2023-11-02 05:00:00,44.0,72.6,14.9,44.0,550.0,7.2,5.0,0.0,74,118,73.86666666666667
2023-11-02 06:00:00,42.0,70.1,16.7,42.0,560.0,7.7,5.0,0.0,75,120,70.698
2023-11-02 07:00:00,41.7,69.6,19.0,41.0,572.0,8.4,5.0,0.25,75,122,70.208
2023-11-02 08:00:00,41.7,69.8,19.3,51.0,562.0,9.4,5.0,1.05,76,124,70.404
2023-11-02 09:00:00,42.6,71.2,15.9,81.0,512.0,11.2,6.0,2.6,76,125,81.38
2023-11-02 10:00:00,42.6,71.9,10.5,121.0,441.0,13.3,8.0,4.35,77,126,131.5735294117647
2023-11-02 11:00:00,40.4,69.4,6.2,152.0,380.0,14.5,9.0,5.7,77,127,176.70588235294116
2023-11-02 12:00:00,35.2,62.4,3.5,165.0,334.0,13.8,11.0,6.05,77,127,195.63235294117646
2023-11-02 13:00:00,31.9,58.2,2.0,168.0,297.0,12.1,12.0,5.2,77,127,200.0
2023-11-02 14:00:00,31.2,57.6,3.1,164.0,288.0,10.8,13.0,3.55,77,127,194.1764705882353
2023-11-02 15:00:00,31.1,57.6,7.5,154.0,310.0,10.3,12.0,1.85,77,128,179.61764705882354
2023-11-02 16:00:00,32.9,59.4,14.7,137.0,359.0,10.2,9.0,0.6,77,128,154.86764705882354
2023-11-02 17:00:00,57.6,99.2,32.5,128.0,512.0,13.1,13.0,0.05,78,128,141.76470588235293
2023-11-02 18:00:00,68.0,114.8,50.2,99.0,684.0,16.1,14.0,0.0,78,130,127.4
2023-11-02 19:00:00,76.6,128.1,74.1,60.0,919.0,20.1,16.0,0.0,78,131,155.77999999999997
2023-11-02 20:00:00,82.7,137.4,88.8,31.0,1081.0,22.3,17.0,0.0,79,133,175.91000000000003
2023-11-02 21:00:00,84.8,140.6,86.2,24.0,1106.0,21.3,17.0,0.0,79,134,182.83999999999997
2023-11-02 22:00:00,81.3,135.5,74.4,28.0,1057.0,18.5,15.0,0.0,80,136,171.29
2023-11-02 23:00:00,75.2,126.2,61.8,33.0,987.0,15.6,14.0,0.0,80,138,151.16
2023-11-03 00:00:00,69.6,117.3,50.0,36.0,899.0,12.9,12.0,0.0,81,139,132.67999999999998
2023-11-03 01:00:00,64.0,108.7,37.4,41.0,789.0,10.2,11.0,0.0,81,141,114.2
