time,PM25,PM10,NO2,O3,CO,SO2,dust,uv_index,AQI_EU,AQI_US,AQI_India
2024-10-01 00:00:00,27.5,44.9,30.2,25.0,376.0,8.9,9.0,0.0,53,77,45.833333333333336
2024-10-01 01:00:00,22.2,35.7,20.8,32.0,286.0,6.3,7.0,0.0,53,77,37.0
2024-10-01 02:00:00,18.3,28.9,13.8,37.0,216.0,4.3,5.0,0.0,54,77,37.0
2024-10-01 03:00:00,15.4,24.2,10.7,38.0,181.0,3.6,4.0,0.0,53,77,38.0
2024-10-01 04:00:00,13.1,20.5,10.1,37.0,167.0,3.5,3.0,0.0,53,77,37.0
2024-10-01 05:00:00,10.4,16.5,8.1,41.0,149.0,3.9,3.0,0.0,52,76,41.0
2024-10-01 06:00:00,10.4,16.9,8.7,38.0,161.0,4.7,3.0,0.0,50,76,38.0
2024-10-01 07:00:00,12.1,19.3,9.5,35.0,178.0,5.8,3.0,0.4,49,75,35.0
2024-10-01 08:00:00,12.3,20.4,9.4,39.0,187.0,6.5,3.0,1.65,48,74,39.0
2024-10-01 09:00:00,13.2,21.8,7.6,55.0,180.0,6.3,4.0,3.85,47,74,55.9
2024-10-01 10:00:00,13.6,22.7,5.0,77.0,166.0,5.6,5.0,6.3,47,74,77.46000000000001
2024-10-01 11:00:00,12.6,22.2,3.0,95.0,156.0,4.9,7.0,7.55,46,74,95.1
2024-10-01 12:00:00,13.2,24.4,2.0,104.0,153.0,4.4,11.0,7.9,46,74,106.82352941176471
2024-10-01 13:00:00,14.4,28.1,1.6,108.0,154.0,3.9,16.0,6.95,46,73,112.6470588235294
2024-10-01 14:00:00,15.7,31.3,2.5,109.0,162.0,3.6,19.0,5.1,46,73,114.1029411764706
2024-10-01 15:00:00,16.6,33.6,4.3,108.0,174.0,3.5,19.0,3.0,46,73,112.6470588235294
2024-10-01 16:00:00,17.2,34.7,7.3,104.0,194.0,3.7,18.0,1.15,46,74,106.82352941176471
2024-10-01 17:00:00,27.0,50.8,14.3,93.0,235.0,4.5,26.0,0.2,46,74,93.14
2024-10-01 18:00:00,34.9,61.9,28.8,72.0,349.0,6.9,25.0,0.0,47,74,72.56
2024-10-01 19:00:00,41.8,72.2,48.2,43.0,502.0,10.1,24.0,0.0,47,74,72.756
2024-10-01 20:00:00,42.5,71.9,59.2,23.0,590.0,12.0,22.0,0.0,48,74,74.52000000000001
2024-10-01 21:00:00,38.9,65.7,53.7,21.0,553.0,11.6,20.0,0.0,48,74,67.7825
2024-10-01 22:00:00,34.9,59.4,39.6,29.0,451.0,10.0,18.0,0.0,47,74,60.211999999999996
2024-10-01 23:00:00,31.2,53.3,27.5,36.0,360.0,8.3,16.0,0.0,45,73,54.233999999999995
2024-10-02 00:00:00,27.3,46.9,21.0,39.0,304.0,6.8,14.0,0.0,45,73,46.9
2024-10-02 01:00:00,24.4,42.0,16.5,42.0,258.0,5.3,13.0,0.0,45,73,42.0
